,id,full_name,language,#commitsBeforeFollowUp,#DevsBeforeFollowUp,SQ/NonSQ,#commitsDuringFollowUp,age_in_ASF,n_closed_issues_start,start_mean_velocity,start_median_velocity,open_issues_at_start,n_created_issues_start,n_closed_issues_end,end_mean,end_median,open_issues_at_end,difference_of_means,difference_of_medians,n_created_issues_end,root_project
634,72565867,apache/openwhisk-apigateway,Lua,385,26,NonSQ,6,1954 days 03:47:37,11,2 days 19:16:10.636363636,0 days 21:02:00,33,12,2,0 days 03:22:08.500000,0 days 03:22:08.500000,33,-3 days +08:05:57.863636364,-1 days +06:20:08.500000,4,openwhisk
636,72975292,apache/logging-log4j-scala,Scala,148,6,NonSQ,95,1349 days 08:41:15,0,NaT,NaT,0,1,5,29 days 18:34:55.600000,7 days 20:54:53,1,NaT,NaT,4,logging
637,72975293,apache/logging-log4j-tools,Java,32,5,NonSQ,35,716 days 16:15:58,0,NaT,NaT,0,0,7,5 days 08:21:14.571428571,0 days 00:01:53,1,NaT,NaT,7,logging
638,73162908,apache/incubator,CSS,416,29,NonSQ,88,1514 days 10:21:52,26,2 days 19:01:24.961538461,2 days 02:20:02,27,30,1,0 days 00:19:31,0 days 00:19:31,21,-3 days +05:18:06.038461539,-3 days +21:59:29,3,incubator
639,73428254,apache/openwhisk-client-go,Go,156,22,NonSQ,14,1789 days 08:37:57,4,4 days 14:05:06.750000,2 days 23:30:47.500000,20,4,5,16 days 00:17:16.200000,0 days 04:24:19,21,11 days 10:12:09.450000,-3 days +04:53:31.500000,4,openwhisk
640,74561211,apache/echarts-examples,TypeScript,577,12,NonSQ,343,1498 days 01:09:22,6,43 days 23:01:57.333333333,37 days 14:23:57.500000,6,9,17,38 days 04:58:56.294117647,0 days 18:52:43,9,-6 days +05:56:58.960784314,-37 days +04:28:45.500000,15,echarts
644,74950504,apache/accumulo-website,HTML,579,59,NonSQ,140,1754 days 19:57:24,22,12 days 17:06:55.227272727,0 days 03:43:13.500000,6,21,51,63 days 02:00:25.705882353,1 days 17:38:54,11,50 days 08:53:30.478609626,1 days 13:55:40.500000,42,accumulo
645,74950505,apache/accumulo-wikisearch,Java,133,12,NonSQ,8,3197 days 12:45:05,2,0 days 00:42:36.500000,0 days 00:42:36.500000,0,2,1,0 days 00:15:37,0 days 00:15:37,0,-1 days +23:33:00.500000,-1 days +23:33:00.500000,1,accumulo
646,74950506,apache/aries-jax-rs-whiteboard,Java,569,11,NonSQ,226,1634 days 12:13:41,23,29 days 07:41:10,1 days 12:01:07,2,30,40,30 days 05:01:11.700000,1 days 10:54:45,5,0 days 21:20:01.700000,-1 days +22:53:38,35,aries
647,74950507,apache/cassandra-builds,Shell,217,11,NonSQ,147,1505 days 19:53:20,4,0 days 16:18:49.250000,0 days 04:48:45.500000,0,6,7,10 days 12:01:39,0 days 06:06:52,4,9 days 19:42:49.750000,0 days 01:18:06.500000,9,cassandra
648,74950508,apache/cordova-common,JavaScript,285,35,NonSQ,15,1847 days 13:47:16,3,8 days 11:37:06.666666666,3 days 07:09:20,10,5,9,23 days 20:35:16.111111111,0 days 03:17:51,13,15 days 08:58:09.444444445,-4 days +20:08:31,14,cordova
649,74950509,apache/cordova-fetch,JavaScript,136,16,NonSQ,12,1620 days 11:00:50,5,4 days 15:07:07.600000,0 days 14:42:06,4,7,6,39 days 06:43:52.500000,0 days 04:37:54,5,34 days 15:36:44.900000,-1 days +13:55:48,8,cordova
650,74950512,apache/cordova-serve,JavaScript,84,15,NonSQ,4,1950 days 08:24:44,1,21 days 12:59:09,21 days 12:59:09,3,4,1,0 days 03:10:53,0 days 03:10:53,9,-22 days +14:11:44,-22 days +14:11:44,1,cordova
651,74950515,apache/netbeans-website,SCSS,1299,56,NonSQ,347,1499 days 19:24:42,24,9 days 15:13:19.833333333,0 days 11:07:08,2,28,29,5 days 12:18:40.241379310,1 days 21:31:41,2,-5 days +21:05:20.408045977,1 days 10:24:33,32,netbeans
652,74950517,apache/logging-log4j-kotlin,Kotlin,85,8,NonSQ,54,1458 days 08:47:23,2,86 days 02:05:06.500000,86 days 02:05:06.500000,2,2,0,NaT,NaT,4,NaT,NaT,0,logging
653,75164823,apache/rocketmq,Java,5914,234,NonSQ,1790,2780 days 21:37:37,336,35 days 16:41:41.369047619,2 days 03:48:12,406,406,1287,142 days 15:52:34.037296034,1 days 16:06:06,743,106 days 23:10:52.668248415,-1 days +12:17:54,1253,rocketmq
654,75708586,apache/accumulo-examples,Java,66,12,NonSQ,57,1463 days 23:36:41,4,108 days 01:11:19,0 days 01:06:38.500000,6,4,8,5 days 23:04:19.625000,2 days 14:05:05.500000,6,-103 days +21:53:00.625000,2 days 12:58:27,11,accumulo
655,75708588,apache/commons-build-plugin,,324,16,NonSQ,195,4697 days 07:49:38,17,53 days 16:03:38.588235294,5 days 06:54:04,2,19,45,2 days 00:56:38.911111111,0 days 07:34:11,0,-52 days +08:53:00.322875817,-5 days +00:40:07,45,commons
656,75916278,apache/carbondata-site,HTML,6,4,NonSQ,6,7 days 08:28:06,0,NaT,NaT,2,0,0,NaT,NaT,4,NaT,NaT,0,carbondata
657,76099157,apache/openwebbeans-meecrowave,Java,639,8,NonSQ,59,1532 days 12:00:38,23,0 days 00:27:09.608695652,0 days 00:02:27,3,25,6,3 days 19:36:26.500000,3 days 19:48:10.500000,5,3 days 19:09:16.891304348,3 days 19:45:43.500000,8,openwebbeans
659,76474200,apache/hudi,Java,1278,126,NonSQ,2404,1475 days 18:53:14,588,19 days 04:17:35.517006802,6 days 05:19:13.500000,89,620,1451,37 days 01:21:11.170227429,5 days 19:36:00,369,17 days 21:03:35.653220627,-1 days +14:16:46.500000,1566,hudi
660,76634121,apache/qpid-proton-j,Java,3170,36,NonSQ,38,3178 days 13:48:00,0,NaT,NaT,0,2,2,367 days 12:30:59,367 days 12:30:59,3,NaT,NaT,1,qpid
661,76711509,apache/accumulo-testing,Java,143,17,NonSQ,113,1453 days 18:46:09,9,147 days 00:41:35,2 days 15:59:28,22,9,44,24 days 09:46:12.863636363,0 days 19:28:29,25,-123 days +09:04:37.863636363,-2 days +03:29:01,47,accumulo
662,77030884,apache/rocketmq-site,JavaScript,414,32,NonSQ,352,1461 days 07:46:42,5,9 days 08:23:37.800000,0 days 19:49:28,1,4,186,8 days 13:44:31.048387096,0 days 18:39:24.500000,3,-1 days +05:20:53.248387096,-1 days +22:49:56.500000,264,rocketmq
663,77671214,apache/geode-examples,Java,175,25,NonSQ,18,1309 days 03:28:39,10,4 days 16:09:41.600000,0 days 00:01:40.500000,0,13,0,NaT,NaT,1,NaT,NaT,0,geode
664,77994497,apache/cayenne-modeler,Java,137,2,NonSQ,5,635 days 17:28:37,0,NaT,NaT,0,0,1,159 days 21:59:07,159 days 21:59:07,0,NaT,NaT,2,cayenne
665,79203295,apache/logging-parent,,16,3,NonSQ,13,1307 days 12:34:00,1,0 days 00:03:15,0 days 00:03:15,0,1,3,57 days 19:52:58.333333333,61 days 11:40:50,1,57 days 19:49:43.333333333,61 days 11:37:35,3,logging
666,79691637,apache/openwhisk-slackinvite,HTML,16,5,NonSQ,1,341 days 14:54:46,0,NaT,NaT,2,0,0,NaT,NaT,2,NaT,NaT,0,openwhisk
667,80501529,apache/ratis,Java,1109,40,NonSQ,343,1732 days 01:06:35,500,12 days 11:00:22.288000,0 days 15:52:59.500000,245,535,303,106 days 19:04:30.570957096,3 days 18:36:28,326,94 days 08:04:08.282957096,3 days 02:43:28.500000,286,ratis
670,80904111,apache/geode-native,C++,1265,36,NonSQ,236,1705 days 14:07:53,89,16 days 00:52:10.280898876,3 days 14:28:26,4,91,11,66 days 20:32:22.363636364,26 days 14:20:27,20,50 days 19:40:12.082737488,22 days 23:52:01,11,geode
671,81799714,apache/ofbiz-framework,Java,27626,45,SQ,1012,5294 days 15:20:59,32,20 days 16:34:27,1 days 03:37:26.500000,55,35,85,168 days 07:05:23.588235294,2 days 01:36:02,68,147 days 14:30:56.588235294,0 days 21:58:35.500000,58,ofbiz
672,81920458,apache/nifi-registry,Java,368,37,NonSQ,4,1370 days 19:56:02,64,80 days 16:17:59.140625,7 days 22:41:01,23,49,0,NaT,NaT,9,NaT,NaT,0,nifi
673,82035099,apache/griffin,Scala,596,48,NonSQ,49,1382 days 22:41:12,16,48 days 19:45:13.187500,9 days 19:12:53,89,32,19,20 days 23:52:02.368421052,12 days 23:37:37,105,-28 days +04:06:49.180921052,3 days 04:24:44,25,griffin
675,82371321,apache/qpid-jms-amqp-0-x,Java,7630,18,NonSQ,1,5004 days 15:19:23,0,NaT,NaT,0,0,2,21 days 00:15:17.500000,21 days 00:15:17.500000,0,NaT,NaT,3,qpid
676,82777101,apache/geode-site,JavaScript,162,9,NonSQ,39,1764 days 18:09:57,0,NaT,NaT,1,0,0,NaT,NaT,0,NaT,NaT,1,geode
677,83405757,apache/freemarker-online-tester,Java,74,4,NonSQ,1,1104 days 01:46:23,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0,freemarker
679,83877385,apache/activemq-nms-amqp,C#,160,9,NonSQ,37,2384 days 20:51:34,0,NaT,NaT,4,0,0,NaT,NaT,4,NaT,NaT,1,activemq
680,83954414,apache/activemq-nms-api,C#,542,10,NonSQ,13,5224 days 05:54:20,0,NaT,NaT,0,0,0,NaT,NaT,1,NaT,NaT,0,activemq
681,83954416,apache/ofbiz-plugins,Java,4304,33,SQ,120,5154 days 00:20:59,9,2 days 01:17:28.888888888,0 days 05:00:21,9,13,2,841 days 23:51:52,841 days 23:51:52,13,839 days 22:34:23.111111112,841 days 18:51:31,0,ofbiz
683,84171579,apache/activemq-nms-openwire,C#,767,7,NonSQ,17,4797 days 15:39:38,3,143 days 00:23:07.666666666,37 days 12:09:24,6,3,1,2 days 23:12:46,2 days 23:12:46,0,-141 days +22:49:38.333333334,-35 days +11:03:22,2,activemq
685,84916374,apache/rocketmq-externals,Java,851,91,NonSQ,131,1439 days 22:32:56,140,198 days 09:35:03.207142858,93 days 06:18:26.500000,122,77,3,7 days 07:50:15.333333333,0 days 18:16:59,86,-192 days +22:15:12.126190475,-93 days +11:58:32.500000,16,rocketmq
686,85240552,apache/datasketches-memory,Java,641,8,NonSQ,247,1378 days 05:39:35,3,98 days 18:01:44.666666667,5 days 21:39:10,1,3,9,75 days 19:42:57.444444444,3 days 03:08:32,4,-23 days +01:41:12.777777777,-3 days +05:29:22,5,datasketches
687,85382263,apache/struts-extras,Java,63,5,NonSQ,3,136 days 15:50:37,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0,struts
688,85795396,apache/calcite-avatica,Java,2683,116,SQ,92,3169 days 22:06:12,6,4 days 04:07:04.166666666,3 days 23:24:53,10,9,25,162 days 14:22:53.680000,7 days 16:34:41,11,158 days 10:15:49.513333334,3 days 17:09:48,24,calcite
689,87096114,apache/openwhisk-cli,Go,541,42,NonSQ,13,1798 days 07:09:02,5,4 days 06:28:31.200000,0 days 19:13:11,106,6,3,39 days 11:54:08.666666666,20 days 16:47:34,112,35 days 05:25:37.466666666,19 days 21:34:23,3,openwhisk
690,87245701,apache/couchdb-pkg,Shell,112,10,NonSQ,32,1330 days 03:53:10,6,19 days 10:50:58.166666666,0 days 10:42:54.500000,2,6,4,13 days 02:33:02.250000,1 days 17:14:18,9,-7 days +15:42:04.083333334,1 days 06:31:23.500000,5,couchdb
691,87614951,apache/cordova-node-xcode,JavaScript,398,45,NonSQ,2,3229 days 09:47:32,2,0 days 15:29:07,0 days 15:29:07,27,3,4,31 days 21:07:05.500000,23 days 21:09:31.500000,39,31 days 05:37:58.500000,23 days 05:40:24.500000,3,cordova
692,87614952,apache/cordova-test-platform,JavaScript,39,11,NonSQ,2,1342 days 01:34:33,4,0 days 19:33:10.250000,0 days 12:45:08.500000,7,4,2,254 days 14:09:45,254 days 14:09:45,8,253 days 18:36:34.750000,254 days 01:24:36.500000,2,cordova
693,87689450,apache/logging-log4cxx,C++,2048,13,NonSQ,307,6415 days 13:05:52,81,2452 days 21:53:01.925925920,2407 days 21:11:21,75,28,89,173 days 01:34:44.539325842,2 days 23:18:52,14,-2280 days +03:41:42.613399922,-2405 days +02:07:31,80,logging
695,88242107,apache/aries-jpa,Java,209,8,NonSQ,7,1442 days 23:28:03,0,NaT,NaT,0,1,0,NaT,NaT,3,NaT,NaT,1,aries
696,88711981,apache/qpid-broker-j,Java,8935,24,NonSQ,130,5202 days 17:52:09,28,18 days 11:25:11.035714285,4 days 23:00:07,4,28,37,33 days 00:01:21.729729729,11 days 19:10:47,10,14 days 12:36:10.694015444,6 days 20:10:40,32,qpid
697,89448844,apache/logging-log4net,C#,1124,10,NonSQ,79,6163 days 22:40:29,32,706 days 20:42:42.937500,41 days 16:12:17,254,25,15,182 days 20:09:51.133333334,170 days 23:13:01,230,-525 days +23:27:08.195833334,129 days 07:00:44,13,logging
698,89566063,apache/openmeetings-site,HTML,132,3,NonSQ,38,1819 days 01:48:07,2,2 days 23:00:20.500000,2 days 23:00:20.500000,0,2,0,NaT,NaT,0,NaT,NaT,0,openmeetings
699,91608601,apache/openwhisk-utilities,Python,68,11,NonSQ,7,1310 days 02:23:19,1,0 days 01:39:47,0 days 01:39:47,7,1,2,1 days 00:21:18.500000,1 days 00:21:18.500000,7,0 days 22:41:31.500000,0 days 22:41:31.500000,3,openwhisk
700,91608763,apache/openwhisk-deploy-kube,Shell,411,47,NonSQ,44,1309 days 01:20:44,37,22 days 21:05:08.135135135,0 days 20:22:55,24,47,18,15 days 20:55:23.611111111,1 days 07:52:14.500000,32,-8 days +23:50:15.475975976,0 days 11:29:19.500000,28,openwhisk
701,91674936,apache/servicecomb-java-chassis,Java,2896,97,NonSQ,707,1322 days 03:12:52,310,72 days 06:12:08.167741935,1 days 23:37:26,126,319,606,307 days 10:08:27.590759076,22 days 23:52:51,326,235 days 03:56:19.423017141,21 days 00:15:25,384,servicecomb
702,91677514,apache/servicecomb-service-center,Go,1105,39,NonSQ,410,1322 days 23:25:20,142,15 days 04:55:33.204225352,0 days 21:33:05.500000,50,146,45,4 days 13:03:26.111111111,0 days 02:14:28,93,-11 days +08:07:52.906885759,-1 days +04:41:22.500000,57,servicecomb
703,91775734,apache/httpcomponents-website,CSS,181,10,NonSQ,62,2714 days 19:37:18,2,14 days 01:55:35.500000,14 days 01:55:35.500000,0,2,5,23 days 18:58:36.200000,2 days 14:49:38,0,9 days 17:03:00.700000,-12 days +12:54:02.500000,6,httpcomponents
706,92714730,apache/httpcomponents-parent,,195,9,NonSQ,9,3372 days 00:28:24,3,2 days 17:33:10,3 days 18:57:32,0,3,0,NaT,NaT,0,NaT,NaT,0,httpcomponents
707,92806420,apache/cayenne-website,HTML,172,8,NonSQ,22,1232 days 12:57:52,2,0 days 20:51:59.500000,0 days 20:51:59.500000,2,2,1,6 days 21:55:29,6 days 21:55:29,4,6 days 01:03:29.500000,6 days 01:03:29.500000,3,cayenne
708,92806422,apache/logging-chainsaw,Java,1030,8,NonSQ,99,7268 days 14:47:28,0,NaT,NaT,1,0,0,NaT,NaT,1,NaT,NaT,1,logging
711,94606706,apache/groovy-release,Groovy,33,3,NonSQ,14,1285 days 00:22:24,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0,groovy
712,94859984,apache/sling-site,HTML,1053,41,NonSQ,447,1275 days 19:54:58,4,3 days 19:22:00.250000,0 days 15:38:37.500000,2,4,11,34 days 10:49:23.454545454,3 days 16:17:18,5,30 days 15:27:23.204545454,3 days 00:38:40.500000,13,sling
714,94973335,apache/hbase-thirdparty,Java,162,13,NonSQ,76,1260 days 00:45:13,24,19 days 19:42:49.083333333,0 days 11:11:56.500000,2,23,8,0 days 08:40:12.375000,0 days 06:15:55,1,-20 days +12:57:23.291666667,-1 days +19:03:58.500000,8,hbase
716,95084858,apache/flink-shaded,Shell,98,12,NonSQ,49,1181 days 04:56:23,2,3 days 12:21:39,3 days 12:21:39,2,3,7,31 days 17:17:43,6 days 00:10:06,3,28 days 04:56:04,2 days 11:48:27,8,flink
717,95281387,apache/cassandra-dtest,Python,5274,77,NonSQ,168,3373 days 04:15:06,51,281 days 03:41:21,118 days 14:02:21,27,27,7,11 days 02:02:04.714285714,8 days 01:24:55,26,-271 days +22:20:43.714285714,-111 days +11:22:34,10,cassandra
718,95527699,apache/superset-site,HTML,59,8,NonSQ,243,1269 days 22:46:24,10,2 days 07:50:45,0 days 00:59:20.500000,0,10,0,NaT,NaT,0,NaT,NaT,0,superset
719,96287283,apache/tomee-site-generator,Java,173,13,NonSQ,173,1239 days 07:52:40,0,NaT,NaT,0,0,9,35 days 10:18:28.111111111,31 days 07:05:48,2,NaT,NaT,11,tomee
720,97528278,apache/mxnet-site,HTML,273,14,NonSQ,10,1148 days 04:49:09,3,0 days 13:12:31.666666666,0 days 12:56:44,11,3,0,NaT,NaT,11,NaT,NaT,0,mxnet
721,97564457,apache/geronimo-config,Java,110,8,NonSQ,4,1086 days 21:01:41,0,NaT,NaT,4,0,0,NaT,NaT,2,NaT,NaT,0,geronimo
722,97573661,apache/servicecomb-pack,Java,1568,55,NonSQ,107,1099 days 00:52:09,10,38 days 05:46:48.500000,1 days 04:12:07.500000,49,19,11,115 days 22:34:18.454545454,5 days 07:25:14,79,77 days 16:47:29.954545454,4 days 03:13:06.500000,10,servicecomb
723,97683571,apache/qpid-site,HTML,478,11,NonSQ,98,1694 days 22:28:45,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0,qpid
724,97916754,apache/gobblin-site,HTML,36,5,NonSQ,22,1238 days 23:32:55,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0,gobblin
726,98013453,apache/atlas,Java,3349,99,NonSQ,392,2232 days 19:08:25,159,42 days 16:06:56.314465409,6 days 04:28:31,693,233,117,210 days 10:39:23.350427352,51 days 18:21:38,929,167 days 18:32:27.035961943,45 days 13:53:07,122,atlas
727,98013456,apache/qpid-interop-test,Python,203,3,NonSQ,31,1859 days 03:37:26,1,220 days 22:23:10,220 days 22:23:10,45,0,0,NaT,NaT,41,NaT,NaT,2,qpid
731,99356908,apache/fluo-yarn,Shell,24,4,NonSQ,3,1166 days 05:10:38,143,159 days 05:43:29.279720280,18 days 15:34:50,2748,225,156,284 days 10:05:25.557692308,19 days 17:36:17,2983,125 days 04:21:56.277972028,1 days 02:01:27,199,fluo
733,99547067,apache/storm-site,,96,10,NonSQ,37,1059 days 06:02:20,2,0 days 06:25:17.500000,0 days 06:25:17.500000,4,1,2,154 days 22:38:16.500000,154 days 22:38:16.500000,2,154 days 16:12:59,154 days 16:12:59,5,storm
734,99661071,apache/calcite-avatica-go,Go,200,8,NonSQ,36,1599 days 09:01:13,3,0 days 12:49:09,0 days 00:07:49,0,4,2,5 days 13:02:14,5 days 13:02:14,0,5 days 00:13:05,5 days 12:54:25,2,calcite
735,99919302,apache/doris,Java,2614,132,SQ,5337,1237 days 15:58:14,1025,23 days 19:49:28.806829268,3 days 16:40:03,459,1193,4480,15 days 15:14:00.410491071,1 days 06:41:15,1070,-9 days +19:24:31.603661803,-3 days +14:01:12,4682,doris
736,100683024,apache/directory-ldap-api,Java,5843,16,NonSQ,85,5458 days 19:43:38,0,NaT,NaT,1,0,0,NaT,NaT,1,NaT,NaT,0,directory
737,100689784,apache/myfaces-tobago,Java,10471,11,NonSQ,1887,6089 days 12:52:54,59,102 days 05:37:02.033898305,0 days 00:59:09,126,63,763,29 days 21:22:38.815203145,0 days 00:54:00,70,-73 days +15:45:36.781304840,-1 days +23:54:51,764,myfaces
738,100689820,apache/myfaces-trinidad,Java,4729,7,NonSQ,1,4747 days 21:40:24,0,NaT,NaT,703,0,0,NaT,NaT,704,NaT,NaT,1,myfaces
739,101730004,apache/commons-parent,,968,24,NonSQ,431,5194 days 12:16:25,18,9 days 23:22:47.666666666,3 days 12:51:11.500000,2,19,75,2 days 07:24:57.626666666,0 days 02:55:06,4,-8 days +08:02:09.960000,-4 days +14:03:54.500000,73,commons
740,101730006,apache/daffodil,Scala,3389,26,SQ,386,3426 days 13:34:21,188,691 days 01:28:46.781914888,21 days 14:40:11.500000,482,163,125,92 days 23:31:46,2 days 23:53:50,458,-599 days +22:02:59.218085112,-19 days +09:13:38.500000,149,daffodil
741,102083572,apache/geronimo-website,HTML,5,4,NonSQ,2,1002 days 07:34:18,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0,geronimo
742,102083574,apache/netbeans-html4j,Java,314,6,NonSQ,127,1465 days 21:29:43,5,13 days 21:13:31.600000,11 days 03:36:27,2,5,1,0 days 09:01:34,0 days 09:01:34,2,-14 days +11:48:02.400000,-11 days +05:25:07,1,netbeans
743,102083575,apache/netbeans-jackpot30,Java,23,4,NonSQ,10,1022 days 01:28:43,1,39 days 10:34:17,39 days 10:34:17,3,0,2,82 days 12:04:59.500000,82 days 12:04:59.500000,2,43 days 01:30:42.500000,43 days 01:30:42.500000,4,netbeans
744,102083576,apache/netbeans,Java,4844,157,NonSQ,3056,2716 days 03:12:32,773,124 days 12:32:28.452781372,7 days 21:53:06,2782,1074,546,65 days 07:47:45.542124542,4 days 23:18:15,3662,-60 days +19:15:17.089343170,-3 days +01:25:09,792,netbeans
745,102179100,apache/airavata-django-portal,Python,1483,11,NonSQ,606,1405 days 03:31:42,11,45 days 05:40:57.454545454,1 days 22:34:53,5,10,32,80 days 09:14:31.687500,55 days 08:59:42,32,35 days 03:33:34.232954546,53 days 10:24:49,47,airavata
747,102343794,apache/brpc,C++,2173,67,NonSQ,677,1260 days 11:57:24,88,31 days 12:51:47.045454545,1 days 18:16:21.500000,312,170,406,412 days 17:43:13.995073896,152 days 15:05:36,545,381 days 04:51:26.949619351,150 days 20:49:14.500000,241,brpc
751,103365096,apache/jackrabbit-filevault-package-maven-plugin,Java,227,4,SQ,165,1192 days 02:24:01,6,4 days 01:52:26,0 days 14:50:00.500000,0,6,6,26 days 12:01:47.666666666,1 days 00:41:58,1,22 days 10:09:21.666666666,0 days 09:51:57.500000,7,jackrabbit
752,103827808,apache/myfaces-trinidad-maven,Java,370,4,NonSQ,8,4276 days 19:36:49,0,NaT,NaT,0,0,1,0 days 14:09:40,0 days 14:09:40,0,NaT,NaT,1,myfaces
754,104064722,apache/shardingsphere-doc,HTML,2247,30,NonSQ,3103,1199 days 00:47:44,49,1 days 21:39:49.938775510,0 days 00:00:30,0,50,51,0 days 16:11:30.294117647,0 days 00:02:46,2,-2 days +18:31:40.355342137,0 days 00:02:16,51,shardingsphere
755,104312953,apache/netbeans-tools,PHP,169,12,NonSQ,88,1169 days 20:49:57,7,26 days 03:44:09.714285714,0 days 14:52:13,4,6,8,28 days 02:16:14.875000,4 days 01:17:23.500000,4,1 days 22:32:05.160714286,3 days 10:25:10.500000,8,netbeans
756,104547093,apache/datasketches-vector,Java,89,4,NonSQ,2,1126 days 12:18:33,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0,datasketches
757,104973620,apache/openwhisk-runtime-java,Java,787,42,NonSQ,22,1776 days 21:18:09,5,0 days 08:41:09.400000,0 days 04:59:00,23,5,7,164 days 16:40:02.428571428,1 days 10:11:06,24,164 days 07:58:53.028571428,1 days 05:12:06,5,openwhisk
758,105034223,apache/royale-website,HTML,8,5,NonSQ,15,109 days 20:45:53,0,NaT,NaT,0,2,1,18 days 13:29:29,18 days 13:29:29,2,NaT,NaT,2,royale
759,105293077,apache/openwhisk-runtime-swift,Swift,816,40,NonSQ,24,1776 days 21:08:24,8,335 days 03:42:08.625000,9 days 07:36:09.500000,4,6,5,120 days 02:27:51.400000,20 days 06:37:49,3,-216 days +22:45:42.775000,10 days 23:01:39.500000,4,openwhisk
760,105315541,apache/openwhisk-runtime-php,Scala,801,40,NonSQ,31,1776 days 21:19:43,4,0 days 05:33:14.250000,0 days 04:18:24,2,6,7,3 days 23:26:23.571428571,0 days 15:54:11,2,3 days 17:53:09.321428571,0 days 11:35:47,7,openwhisk
761,105323132,apache/openwhisk-runtime-nodejs,JavaScript,876,46,NonSQ,35,1776 days 21:18:55,9,0 days 12:32:49.444444444,0 days 08:15:00,11,11,8,71 days 16:41:07.500000,0 days 10:14:30,10,71 days 04:08:18.055555556,0 days 01:59:30,9,openwhisk
762,105698512,apache/royale-docs,Sass,952,15,NonSQ,110,1185 days 01:00:49,3,0 days 00:39:55.666666666,0 days 00:14:34,0,3,0,NaT,NaT,0,NaT,NaT,0,royale
763,105811685,apache/openwhisk-runtime-python,Jupyter Notebook,826,44,NonSQ,27,1776 days 21:20:25,6,3 days 09:11:06.500000,0 days 21:04:01.500000,4,8,11,20 days 22:25:59.636363636,2 days 02:25:06,3,17 days 13:14:53.136363636,1 days 05:21:04.500000,9,openwhisk
764,105931844,apache/openwhisk-runtime-docker,Python,806,40,NonSQ,12,1776 days 21:14:56,0,NaT,NaT,1,1,6,5 days 04:19:37.500000,0 days 10:18:20.500000,0,NaT,NaT,6,openwhisk
765,106789422,apache/celix-site,JavaScript,63,3,NonSQ,32,569 days 20:10:44,1,1 days 14:41:39,1 days 14:41:39,0,1,5,6 days 01:34:36.200000,9 days 02:17:29,1,4 days 10:52:57.200000,7 days 11:35:50,8,celix
766,107089740,apache/pdfbox-jbig2,Java,69,5,NonSQ,26,893 days 22:29:01,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0,pdfbox
767,107229917,apache/vcl,Perl,2625,5,NonSQ,1,4220 days 01:53:45,0,NaT,NaT,142,0,0,NaT,NaT,144,NaT,NaT,0,vcl
768,107432523,apache/sling-org-apache-sling-api,Java,594,19,SQ,71,4328 days 22:51:29,2,6 days 05:53:17.500000,6 days 05:53:17.500000,1,3,2,30 days 02:52:04.500000,30 days 02:52:04.500000,4,23 days 20:58:47,23 days 20:58:47,2,sling
769,107432661,apache/sling-org-apache-sling-auth-core,Java,262,12,SQ,48,3691 days 05:05:02,2,0 days 17:45:03.500000,0 days 17:45:03.500000,1,3,2,5 days 10:04:49,5 days 10:04:49,1,4 days 16:19:45.500000,4 days 16:19:45.500000,2,sling
770,107432689,apache/sling-org-apache-sling-auth-form,Java,128,11,SQ,20,3662 days 08:48:54,0,NaT,NaT,0,0,2,0 days 02:46:35,0 days 02:46:35,0,NaT,NaT,3,sling
771,107432719,apache/sling-org-apache-sling-commons-classloader,Java,162,12,SQ,4,4059 days 09:41:40,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0,sling
